,ASN,Count,AS_Name,AS_Country
0,61955,1248834,ColocationIX-AS ColocationIX GmbH, DE
1,9145,136403,EWETEL EWE TEL GmbH, DE
2,51088,975327,A2B A2B IP B.V., NL
3,267613,2181722,ELETRONET S.A., BR
4,13335,204436,CLOUDFLARENET, US
5,42541,4048058,FIBERBY Fiberby ApS, DK
6,39120,987592,CONVERGENZE-AS Convergenze S.p.A., IT
7,293,1857604,ESNET, US
8,2914,7443450,NTT-COMMUNICATIONS-2914, US
9,3356,10803447,LEVEL3, US
10,31019,808928,MEANIE Paulus M. Hoogsteder trading as Meanie, NL
11,1103,1886421,SURFNET-NL SURFnet bv, NL
12,39591,972534,GLOBAL-E Global-e BV, NL
13,20953,938928,INFONL-AS Info.nl/hf b.v., NL
14,174,7394316,COGENT-174, US
15,1140,612050,SIDN Stichting Internet Domeinregistratie Nederland, NL
16,12779,992585,ITGATE IT.Gate S.p.A., IT
17,34968,956909,iunxi Trixit Holding B.V., NL
18,50763,719886,MCKAYCOM MCKAYCOM LTD, GB
19,5394,805610,Unidata UNIDATA S.p.A., IT
20,12859,988322,NL-BIT BIT BV, NL
21,24875,908995,NOVOSERVE-AS NovoServe B.V., NL
22,16552,2926086,TIGGEE, US
23,6453,4746235,AS6453, US
24,6830,4228473,LibertyGlobal Liberty Global B.V., AT
25,57695,1167050,,
26,6939,13942198,HURRICANE, US
27,4826,1503348,VOCUS-BACKBONE-AS Vocus Connect International Backbone, AU
28,38803,5869,WPL-AS-AP Wirefreebroadband Pty Ltd, AU
29,56203,935,GTELECOM-AUSTRALIA Gtelecom-AUSTRALIA, AU
30,15412,536492,FLAG-AS Reliance Globalcom Limited, GB
31,3257,5578937,GTT-BACKBONE GTT Communications Inc., DE
32,2519,40363,VECTANT ARTERIA Networks Corporation, JP
33,2516,188768,KDDI KDDI CORPORATION, JP
34,8455,1610833,ATOM86-AS Schuberg Philis B.V., NL
35,1299,11097870,TELIANET Telia Company AB, EU
36,39326,420312,HSO-GROUP HighSpeed Office Limited, GB
37,2603,478217,NORDUNET NORDUnet, NO
38,2497,199800,IIJ Internet Initiative Japan Inc., JP
39,8943,338154,JUMP Jump Networks Ltd, GB
40,7670,9538,,
41,18144,1719,,
42,4637,1326493,ASN-TELSTRA-GLOBAL Telstra Global, HK
43,24785,322356,JOINTTRANSIT-AS Broadband Hosting B.V, NL
44,20562,84905,OPEN-PEERING-AS Broadband Hosting B.V, NL
45,38040,144176,GLOBAL-TRANSIT-TOT-IIG-TH TOT Public Company Limited, TH
46,23969,148148,TOT-NET TOT Public Company Limited, TH
47,52320,916022,,
48,3491,3359793,BTN-ASN, US
49,4651,302021,THAI-GATEWAY The Communications Authority of Thailand(CAT), TH
50,9304,264744,HUTCHISON-AS-AP HGC Global Communications Limited, HK
51,45250,13217,VOCOM-TW-AS Vocom International Telecommunications Inc. Taiwan POP Internet Service Srovider, TW
52,138449,443,SYUNET-AS-AP SIANG YU SCIENCE AND TECHNOLOGY LIMITED, HK
53,9505,104843,TWGATE-AP Taiwan Internet Gateway, TW
54,4134,1208625,,
55,18046,5562,DONGFONG-TW DongFong Technology Co. Ltd., TW
56,133948,1533,DIL-AS-AP DONGFONG INC LIMITED, HK
57,286,485678,KPN KPN B.V., NL
58,43531,85405,IXREACH IX Reach Ltd, GB
59,11164,283561,INTERNET2-I2PX, US
60,3549,1018140,LVLT-3549, US
61,4837,676513,CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
62,4837,676513,"WHCOMGRP-AP Wholesale Communications Group Pty Ltd, Wholesale", AU
63,4808,162278,CHINA169-BJ China Unicom Beijing Province Network, CN
64,24151,7451,CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
65,58453,1050454,,
66,9808,812718,CMNET-GD Guangdong Mobile Communication Co.Ltd., CN
67,9808,812718,"NOVANETWORK SHENZHEN NOVA TECHNOLOGIES DEVELOPMENT.,LTD.", CN
68,9808,812718,"TNSNET Beijing Times Netstar Technology Co.,Ltd", CN
69,9808,812718,"BJGY srit corp.,beijing.", CN
70,9808,812718,"CNNIC-CN-COLNET Oriental Cable Network Co., Ltd.", CN
71,9808,812718,"SHANGHAI263 shanghai branch,network 263 group", CN
72,9808,812718,"FIBRLINK Beijing FibrLINK Networks Co.,Ltd.", CN
73,9808,812718,"EPERN Beijing Gold First System Engineering Co.,Ltd", CN
74,9808,812718,"VCLOUDS-UNION Beijing VCLOUDS UNION Technology Co., Ltd.", CN
75,9808,812718,"ETNSBBNETWORK Guangdong Belton Telecommunications Technology Development Co.,Ltd.", CN
76,24409,626,CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
77,58461,35291,,
78,37963,33778,,
79,24406,1351,CNNIC-CRITICAL-AP China Internet Network Infomation Center, CN
80,24406,1351,"CNNIC-YOUXINNET-AP Harbin mengxun chuanshu transmission Information technology Co., Ltd.", CN
81,1239,307928,SPRINTLINK, US
82,17676,113796,GIGAINFRA Softbank BB Corp., JP
83,4725,16592,ODN SoftBank Corp., JP
84,4725,16592,"BSS KYODO PRINTING BUSINESS SOLUTIONS CO.,LTD", JP
85,9583,185022,SIFY-AS-IN Sify Limited, IN
86,3320,261683,DTAG Deutsche Telekom AG, DE
87,7473,666309,SINGTEL-AS-AP Singapore Telecommunications Ltd, SG
88,4755,1007688,TATACOMM-AS TATA Communications formerly VSNL is Leading ISP, IN
89,132215,31360,POWERGRID-IN Power Grid Corporation of India Limited, IN
90,4635,216862,HKIX-RS1 Hong Kong Internet Exchange--Route Server 1, HK
91,4635,216862,"TFN-TW-GCN-1 Taiwan Fixed Network Co., LTD.", TW
92,137130,492,ITDPNB-AS Punjab National Bank, IN
93,9498,1953456,BBIL-AP BHARTI Airtel Ltd., IN
94,1273,915024,CW Vodafone Group PLC, EU
95,55410,298607,VIL-AS-AP Vodafone Idea Ltd, IN
96,7497,66355,CSTNET-AS-AP Computer Network Information Center, CN
97,38345,3806,ZDNS Internet Domain Name System Beijing Engineering Resrarch Center Ltd., CN
98,11537,62836,INTERNET2-RESEARCH-EDU, US
99,22388,4151,TRANSPAC, US
100,7660,3343,APAN-JP Asia Pacific Advanced Network - Japan, JP
101,9264,2360,ASNET Academic Sinica Network, TW
102,4788,216160,,
103,3786,336359,LGDACOM LG DACOM Corporation, KR
104,38091,247663,HELLONET-AS-KR LG HelloVision Corp., KR
105,18313,4269,PCN-AS-KR LG HelloVision Corp., KR
106,4766,837765,KIXS-AS-KR Korea Telecom, KR
107,9848,220333,SEJONGTELECOM-AS-KR Sejong Telecom, KR
108,9318,395296,SKB-AS SK Broadband Co Ltd, KR
109,45996,12154,GNJ-AS-KR DAOU TECHNOLOGY, KR
110,38669,9137,CNBTV-AS-KR LG HelloVision Corp., KR
111,17839,9027,DREAMPLUS-AS-KR LG HelloVision Corp., KR
112,17839,9027,"KOREACERT-AS-KR KECA, Inc.", KR
113,131098,156,BDNSKR-AS-KR Korea Internet Security Agency, KR
114,131099,144,CDNSKR-AS-KR Korea Internet Security Agency, KR
115,131100,522,FDNSKR-AS-KR Korea Internet Security Agency, KR
116,23599,711,DDNSKR-KR Korea Internet Security Agency, KR
117,9457,28235,DREAMX-AS DREAMLINE CO., KR
118,9957,100693,KINX-AS KINX, KR
119,9286,23890,KINXIDC-AS-KR KINX, KR
120,1237,53172,KREONET-AS-KR KISTI, KR
121,23596,898,EDNSKR-KR Korea Internet Security Agency, KR
122,17579,3467,KREONET2-AS-KR KISTI, KR
123,23911,14942,CNGI-BJIX-AS-AP China Next Generation Internet Beijing IX, CN
124,4538,101613,ERX-CERNET-BKB China Education and Research Network Center, CN
125,4847,101960,CNIX-AP China Networks Inter-Exchange, CN
126,4847,101960,"UNSPECIFIED Super Telecom, Ltd.", HK
127,20965,30895,GEANT GEANT Vereniging, EU
128,22548,4117,Nucleo de Inf. e Coord. do Ponto BR - NIC., BR
129,16735,598532,ALGAR TELECOM S/A, BR
130,9858,2186,KRNICNET Korea Internet Security Agency, KR
131,23600,1683,GDNSKR-KR Korea Internet Security Agency, KR
132,33891,175367,CORE-BACKBONE Core-Backbone GmbH, DE
133,5539,2741,SPACENET SpaceNet AG, DE
134,8763,3726,DENIC-AS DENIC eG, DE
135,8763,3726,"Telia-Lietuva Telia Lietuva, AB", LT
136,13237,856965,LAMBDANET-AS euNetworks GmbH, DE
137,131293,29891,TOT-LLI-AS-AP TOT Public Company Limited, TH
138,56120,1787,TOT-MOBILE-AS-AP TOT Public Company Limited, TH
139,45528,242394,TIKONAIN-AS Tikona Infinet Ltd., IN
140,45528,242394,"AGODA-TH-AS-AP The Offices at Central World, 27th floor", TH
141,45528,242394,"MAXSUN-PH-AS-AP Jipfa Building, 3rd floor", PH
142,9730,7801,BHARTITELESONIC-AS-IN-AP Bharti Telesonic Ltd, IN
143,701,997961,UUNET, US
144,139007,21281,UNICOM-NM-WULANCHABU-IDC UNICOM InnerMongolia province network, CN
145,64050,107210,BCPL-SG BGPNET Global ASN, SG
146,4842,2614,TH-AS-AP Tianhai InfoTech, CN
147,137443,38804,ANCHGLOBAL-AS-AP Anchnet Asia Limited, HK
148,2514,25386,,
149,6461,2477514,ZAYO-6461, US
150,9680,91445,HINETUSA HiNet Service Center in U.S.A, TW
151,9680,91445,"NBEN-TW National Broadband Experiment Network, sponsored by NSC, TAIWAN", TW
152,3462,113009,HINET Data Communication Business Group, TW
153,4760,38017,HKTIMS-AP HKT Limited, HK
154,4775,80394,GLOBE-TELECOM-AS Globe Telecoms, PH
155,4775,80394,"ANET-TH-AP A-Net Co., Ltd.", TH
156,38266,132756,VODAFONE-IN Vodafone India Ltd., IN
157,55644,468789,IDEANET1-IN Idea Cellular Limited, IN
158,55644,468789,"NEXGEN-AS-AP 6 Sukhumvit 49/9, Sukhumvit Rd, Klongton Nua, Wattana, Bangkok 10110", TH
159,55644,468789,"METRONET-HK Flat C, 16/F, Skyline Tower", HK
160,38226,2260,AASTOCKS-HK-AP Online Stock Trading Company, HK
161,4804,34979,MPX-AS Microplex PTY LTD, AU
162,7474,307565,OPTUSCOM-AS01-AU SingTel Optus Pty Ltd, AU
163,45083,3797,,
164,10089,20745,DTNCORP-TH-AP Total Access Communication PLC., TH
165,9587,19299,DTACNETWORK-TH-AP 26th Floor 333/3 Moo 14 Chai Building, TH
166,24378,10272,ENGTAC-AS-TH-AP Total Access Communication PLC., TH
167,24378,10272,"JINET-SCIB Jasmine Internet Co, Ltd. for multihome Corporate", TH
168,15932,12305,TGS-INT-NETWORK Telenor Global Services AS, NO
169,24361,911,CNGI-NJ-IX-AS-AP CERNET2 IX at Southeast University, CN
170,18403,411426,FPT-AS-AP The Corporation for Financing & Promoting Technology, VN
171,6762,1698964,SEABONE-NET TELECOM ITALIA SPARKLE S.p.A., IT
172,38819,10899,HKCSL-AS-AP HKCSL GPRS NETWORK, HK
173,9444,2611,HKT-AS-AP Hong Kong Telecommunications (HKT) Limited, HK
174,9605,91552,,
175,132147,798,,
176,134768,3133,CHINANET-SHAANXI-CLOUD-BASE CHINANET SHAANXI province Cloud Base network, CN
177,17429,5388,BGCTVNET BEIJING GEHUA CATV NETWORK CO.LTD, CN
178,17429,5388,"GWBN-CHENGDU Beijing XiRang Media Cultural Co., Ltd.", CN
179,12956,1186214,,
180,52873,47739,SOFTDADOS CONECTIVIDADE, BR
181,262668,1723,Mar Provedor de Internet Ltda, BR
182,37903,2924,EMOBILE Ymobile Corporation, JP
183,137753,78,JD Beijing Jingdong Shangke Information Technology Co. Ltd., CN
184,23724,110433,,
185,59034,71,,
186,209,1357714,CENTURYLINK-US-LEGACY-QWEST, US
187,1221,223426,ASN-TELSTRA Telstra Corporation Ltd, AU
188,9845,45599,CJCKN-AS-KR LG HelloVision Corp., KR
189,10066,6186,GAYANET-AS-KR LG HelloVision Corp., KR
190,17577,5397,GIGAPASS-AS-KR LG HelloVision Corp., KR
191,10037,4111,NEXEYE-AS-KR LG HelloVision Corp., KR
192,9697,9342,CJHAEUNDAEGIJANG-AS-KR LG HelloVision Corp., KR
193,9723,26547,ISEEK-AS-AP iseek Communications Pty Ltd, AU
194,137241,310,PSRU-AS-AP PibulSongkramRajabhat University, TH
195,45806,2794,SCB-TH-AS-AP Siam Commercial Bank, TH
196,134166,2239,TOT-IDC-AS-AP Internet Data Center Service, TH
197,45769,52930,DVOIS-IN D-Vois Broadband Pvt Ltd, IN
198,45582,49982,,
199,133296,73299,WEBWERKS-AS-IN Web Werks India Pvt. Ltd., IN
200,18101,116171,RELIANCE-COMMUNICATIONS-IN Reliance Communications Ltd.DAKC MUMBAI, IN
201,17443,209,KARUTURI-IN Karuturi Telecom Pvt Ltd, IN
202,45271,213395,ICLNET-AS-AP Idea Cellular Limited, IN
203,137687,2905,,
204,139018,2230,CHINANET-HENAN-LUOYANG-IDC Henan Luoyang IDC, CN
205,24157,15678,VIBO-NET-AS Taiwan Star Telecom Corporation Limited.(Former Vibo Telecom Inc.), TW
206,24157,15678,"TAIWANMOBILE-AS Taiwan Mobile Co., Ltd.", TW
207,10158,9206,KAKAO-10158-AS-KR Kakao Corp, KR
208,38099,3082,KAKAO-AS-KR Kakao Corp, KR
209,38099,3082,"INICIS-AS-KR INICIS Co., Ltd", KR
210,38668,392,KONKUKHOSPITAL-AS-KR Konkuk University Hospital, KR
211,9526,2274,KOSCOM-AS-KR KOSCOM, KR
212,10167,1567,HANVIT-AS HANVIT BANK, KR
213,45376,945,HALLAHOLDINGS-AS-KR HALLAHOLDINGS, KR
214,18305,6302,POSNET POSCO ICT, KR
215,55633,160,DMC-AS-KR pundang jesaeng general hospital, KR
216,55633,160,"KASIKORN-ASSET-MANAGEMENT Kasikorn Asset Management Co.,Ltd.", TH
217,45974,21235,NHN-AS-KR NHN, KR
218,9684,1328,HANWHA-AS HANWHA Corp. Information Service div., KR
219,9638,9621,NH-AS National Agricultural Cooperative federation, KR
220,55627,975,DONGDUK-AS-KR Dongduk Womens University, KR
221,7562,267462,HCNSEOCHO-AS-KR HCN Dongjak, KR
222,9569,5560,,
223,9762,8514,HCN-AS HYUNDAI COMMUNICATIONS NETWORK, KR
224,23584,16092,,
225,9319,14743,HCNCHUNGJU-AS-KR HCN CHUNGBUK CABLE TV SYSTEMS, KR
226,9849,1092,CWD-AS Office of the president, KR
227,9277,76,SKB-T-AS-KR SK Broadband Co Ltd, KR
228,17846,76,SKB-H-AS-KR SK Broadband Co Ltd, KR
229,46004,76,SKBMIL SK Broadband Co Ltd, KR
230,10196,1537,HNCBWORLD-AS-KR KOOKMIN BANK, KR
231,55586,2094,CATHOLIC-AS-KR THE CATHOLIC UNIVERSITY OF KOREA SONGSIM, KR
232,45370,3675,BROADBANDIDC-AS-KR BROADBANDIDC, KR
233,23601,1790,TAEKWANG-AS-KR tsis, KR
234,55615,6315,DUZONBIZON-AS-KR DOUZONEBIZON, KR
235,9647,13715,SEOULMETRO-AS Seoul Metropolitan Government, KR
236,9973,385,BSITC-AS-KR BSITC, KR
237,38394,6024,GOESN-AS-KR Gyeonggido Seongnam Office of Education, KR
